 v-sweep         v(V1)           v(V2)           v(Vout)        
 2.73000000e-01  2.73000000e-01  0.00000000e+00  6.99761878e-01 
 2.74000000e-01  2.74000000e-01  0.00000000e+00  7.00005110e-01 
 2.75000000e-01  2.75000000e-01  0.00000000e+00  7.00255005e-01 
 2.76000000e-01  2.76000000e-01  0.00000000e+00  7.00511541e-01 
 2.77000000e-01  2.77000000e-01  0.00000000e+00  7.00775450e-01 
 2.78000000e-01  2.78000000e-01  0.00000000e+00  7.01045549e-01 
 2.79000000e-01  2.79000000e-01  0.00000000e+00  7.01323028e-01 
 2.80000000e-01  2.80000000e-01  0.00000000e+00  7.01609233e-01 
 2.81000000e-01  2.81000000e-01  0.00000000e+00  7.01902223e-01 
 2.82000000e-01  2.82000000e-01  0.00000000e+00  7.02203116e-01 
 2.83000000e-01  2.83000000e-01  0.00000000e+00  7.02511922e-01 
 2.84000000e-01  2.84000000e-01  0.00000000e+00  7.02828941e-01 
 2.85000000e-01  2.85000000e-01  0.00000000e+00  7.03154994e-01 
 2.86000000e-01  2.86000000e-01  0.00000000e+00  7.03489463e-01 
 2.87000000e-01  2.87000000e-01  0.00000000e+00  7.03832960e-01 
 2.88000000e-01  2.88000000e-01  0.00000000e+00  7.04185513e-01 
 2.89000000e-01  2.89000000e-01  0.00000000e+00  7.04548122e-01 
 2.90000000e-01  2.90000000e-01  0.00000000e+00  7.04919995e-01 
 2.91000000e-01  2.91000000e-01  0.00000000e+00  7.05301680e-01 
 2.92000000e-01  2.92000000e-01  0.00000000e+00  7.05693834e-01 
 2.93000000e-01  2.93000000e-01  0.00000000e+00  7.06097329e-01 
 2.94000000e-01  2.94000000e-01  0.00000000e+00  7.06510598e-01 
 2.95000000e-01  2.95000000e-01  0.00000000e+00  7.06935611e-01 
 2.96000000e-01  2.96000000e-01  0.00000000e+00  7.07371401e-01 
 2.97000000e-01  2.97000000e-01  0.00000000e+00  7.07819522e-01 
 2.98000000e-01  2.98000000e-01  0.00000000e+00  7.08279438e-01 
 2.99000000e-01  2.99000000e-01  0.00000000e+00  7.08751856e-01 
 3.00000000e-01  3.00000000e-01  0.00000000e+00  7.09236492e-01 
 3.01000000e-01  3.01000000e-01  0.00000000e+00  7.09734698e-01 
 3.02000000e-01  3.02000000e-01  0.00000000e+00  7.10246060e-01 
 3.03000000e-01  3.03000000e-01  0.00000000e+00  7.10770823e-01 
 3.04000000e-01  3.04000000e-01  0.00000000e+00  7.11309923e-01 
 3.05000000e-01  3.05000000e-01  0.00000000e+00  7.11863765e-01 
 3.06000000e-01  3.06000000e-01  0.00000000e+00  7.12432404e-01 
 3.07000000e-01  3.07000000e-01  0.00000000e+00  7.13016088e-01 
 3.08000000e-01  3.08000000e-01  0.00000000e+00  7.13615348e-01 
 3.09000000e-01  3.09000000e-01  0.00000000e+00  7.14231279e-01 
 3.10000000e-01  3.10000000e-01  0.00000000e+00  7.14863190e-01 
 3.11000000e-01  3.11000000e-01  0.00000000e+00  7.15512435e-01 
 3.12000000e-01  3.12000000e-01  0.00000000e+00  7.16179517e-01 
 3.13000000e-01  3.13000000e-01  0.00000000e+00  7.16863024e-01 
 3.14000000e-01  3.14000000e-01  0.00000000e+00  7.17566131e-01 
 3.15000000e-01  3.15000000e-01  0.00000000e+00  7.18287469e-01 
 3.16000000e-01  3.16000000e-01  0.00000000e+00  7.19028347e-01 
 3.17000000e-01  3.17000000e-01  0.00000000e+00  7.19788959e-01 
 3.18000000e-01  3.18000000e-01  0.00000000e+00  7.20570410e-01 
 3.19000000e-01  3.19000000e-01  0.00000000e+00  7.21373168e-01 
 3.20000000e-01  3.20000000e-01  0.00000000e+00  7.22196140e-01 
 3.21000000e-01  3.21000000e-01  0.00000000e+00  7.23041713e-01 
 3.22000000e-01  3.22000000e-01  0.00000000e+00  7.23910576e-01 
 3.23000000e-01  3.23000000e-01  0.00000000e+00  7.24802501e-01 
 3.24000000e-01  3.24000000e-01  0.00000000e+00  7.25718033e-01 
 3.25000000e-01  3.25000000e-01  0.00000000e+00  7.26658192e-01 
 3.26000000e-01  3.26000000e-01  0.00000000e+00  7.27624171e-01 
 3.27000000e-01  3.27000000e-01  0.00000000e+00  7.28615655e-01 
 3.28000000e-01  3.28000000e-01  0.00000000e+00  7.29633194e-01 
 3.29000000e-01  3.29000000e-01  0.00000000e+00  7.30678300e-01 
 3.30000000e-01  3.30000000e-01  0.00000000e+00  7.31751271e-01 
 3.31000000e-01  3.31000000e-01  0.00000000e+00  7.32852867e-01 
 3.32000000e-01  3.32000000e-01  0.00000000e+00  7.33984607e-01 
 3.33000000e-01  3.33000000e-01  0.00000000e+00  7.35146321e-01 
 3.34000000e-01  3.34000000e-01  0.00000000e+00  7.36338825e-01 
 3.35000000e-01  3.35000000e-01  0.00000000e+00  7.37563680e-01 
 3.36000000e-01  3.36000000e-01  0.00000000e+00  7.38821004e-01 
 3.37000000e-01  3.37000000e-01  0.00000000e+00  7.40112595e-01 
 3.38000000e-01  3.38000000e-01  0.00000000e+00  7.41438011e-01 
 3.39000000e-01  3.39000000e-01  0.00000000e+00  7.42799449e-01 
 3.40000000e-01  3.40000000e-01  0.00000000e+00  7.44197308e-01 
 3.41000000e-01  3.41000000e-01  0.00000000e+00  7.45632534e-01 
 3.42000000e-01  3.42000000e-01  0.00000000e+00  7.47105095e-01 
